temperature_K,density,viscosity,heat_capacity,conductivity
223.15,1.584340677,1.461401277e-05,1005.92098,0.02041624546
233.15,1.515989601,1.515172771e-05,1005.707368,0.02122487436
243.15,1.453318799,1.568068602e-05,1005.580943,0.02202324529
253.15,1.395645074,1.620123511e-05,1005.5366,0.02281173145
263.15,1.342391108,1.671370431e-05,1005.571506,0.02359069136
273.15,1.293065616,1.721840587e-05,1005.684396,0.02436047537
283.15,1.24724782,1.771563586e-05,1005.875072,0.02512141647
293.15,1.204575182,1.820567518e-05,1006.144032,0.0258738283
303.15,1.164733632,1.868879036e-05,1006.492185,0.02661801502
313.15,1.127449697,1.916523447e-05,1006.920648,0.02735426744
323.15,1.092484128,1.963524789e-05,1007.43058,0.02808286347
333.15,1.059626693,2.00990591e-05,1008.023066,0.02880406868
343.15,1.028691895,2.055688536e-05,1008.699025,0.02951813678
353.15,0.9995154311,2.100893339e-05,1009.459139,0.03022531016
363.15,0.9719512377,2.14554e-05,1010.30381,0.03092582046
373.15,0.9458690271,2.18964727e-05,1011.233123,0.03161988907
383.15,0.9211522072,2.233233021e-05,1012.246832,0.03230772761
393.15,0.897696125,2.276314299e-05,1013.344349,0.03298953849
403.15,0.8754065735,2.318907374e-05,1014.524748,0.03366551531
413.15,0.8541985184,2.361027783e-05,1015.786771,0.03433584335
423.15,0.8339950061,2.40269037e-05,1017.128844,0.0350007
433.15,0.8147262247,2.443909328e-05,1018.549097,0.03566025514
443.15,0.7963286932,2.484698235e-05,1020.045387,0.03631467153
453.15,0.778744559,2.525070087e-05,1021.61532,0.03696410522
463.15,0.7619209864,2.565037331e-05,1023.256285,0.03760870581
473.15,0.745809624,2.604611894e-05,1024.965476,0.03824861687
483.15,0.7303661382,2.643805212e-05,1026.739922,0.03888397618
493.15,0.715549804,2.682628253e-05,1028.576517,0.03951491604
503.15,0.7013231447,2.721091548e-05,1030.472043,0.04014156354
513.15,0.6876516139,2.759205205e-05,1032.423203,0.04076404085
523.15,0.6745033146,2.796978939e-05,1034.426637,0.0413824654
533.15,0.6618487496,2.834422087e-05,1036.478953,0.04199695017
543.15,0.6496605998,2.871543627e-05,1038.576744,0.04260760388
553.15,0.6379135267,2.908352199e-05,1040.716608,0.04321453118
563.15,0.6265839959,2.944856119e-05,1042.89517,0.04381783287
573.15,0.6156501193,2.981063396e-05,1045.109091,0.04441760608
